,tGravityAccmeanX,tGravityAccCorrelationXY,tGravityAccCorrelationXZ,tGravityAccCorrelationYZ,angletBodyGyroMeanGravityMean,subject,Activity,timepoint
0,0.9679482,-0.56395092,0.4664707,0.44309711,0.27504075,1,STANDING,6
1,0.95360569,0.89428322,0.91980763,0.99029772,-0.24057155,1,STANDING,19
2,0.62577398,-0.94810473,-0.95227069,0.97357937,0.16126969,1,SITTING,38
3,0.87653997,-0.89131478,0.91847494,-0.64651562,0.61787351,1,SITTING,40
4,-0.20863346,0.29181903,-0.55511751,-0.72107926,0.26340094,1,LAYING,58
5,0.044743889,-0.96295314,-0.99369442,0.98109785,-0.51443817,1,LAYING,65
6,-0.74182101,0.751859,-0.926334,-0.93995615,-0.18620193,1,LAYING,73
7,0.94712514,0.31343582,-0.057588718,0.6452164,-0.29120005,1,WALKING,83
8,0.94782306,0.83920104,-0.0040065918,-0.19125602,-0.40372804,1,WALKING,93
9,0.95473147,-0.55384003,-0.49575252,0.60209713,-0.57921451,1,WALKING,95
10,0.94502756,0.040226175,-0.13076162,0.27504570000000006,0.12101795,1,WALKING,96
11,0.93861575,-0.53239076,-0.48091858,0.49134645,0.42702112,1,WALKING,104
12,0.94588224,-0.42798921,-0.70511808,0.80547912,-0.28466332,1,WALKING,116
13,0.94257515,0.6872929,-0.39946509,0.055347045,-0.81356582,1,WALKING,117
14,0.94991264,0.49664501,-0.14218227,0.54584853,-0.29983873,1,WALKING,123
15,0.9494625,0.55000463,-0.18831656,0.54878732,-0.94339025,1,WALKING_DOWNSTAIRS,130
16,0.94976646,0.53169324,-0.60410266,0.077000456,-0.96012461,1,WALKING_DOWNSTAIRS,133
17,0.93926427,-0.78373962,-0.91865885,0.78025494,-0.8498753000000001,1,WALKING_DOWNSTAIRS,141
18,0.92422997,0.22725026,0.71495203,0.65936017,0.98528388,1,WALKING_DOWNSTAIRS,143
19,0.93935459,0.98651233,-0.86285694,-0.90609164,-0.96080814,1,WALKING_UPSTAIRS,151
20,0.92797881,0.9811049999999999,0.09343429699999999,0.23727959,-0.07814529099999999,1,STANDING,180
21,0.92836922,0.99901425,0.30284741,0.26559464,-0.20960312,1,STANDING,182
22,0.92511537,0.64878608,-0.74204269,-0.10190262,0.4662992,1,STANDING,186
23,-0.046239327999999996,0.12847956,-0.49558347,0.7335253,-0.57478634,1,LAYING,222
24,0.91770587,-0.9481581,-0.57710018,0.29899123,0.036059285,1,SITTING,235
25,-0.16876892,-0.95511348,0.97692928,-0.98294787,-0.17344642,1,LAYING,239
26,0.92942237,-0.090031515,-0.56745665,0.49280731,-0.45414407,1,WALKING,263
27,0.93555671,0.74469335,0.80479976,0.79244954,-0.57331588,1,WALKING,265
28,0.92237373,0.13408606,-0.33733869,0.63315422,-0.20851993,1,WALKING,278
29,0.9216101000000001,0.54506363,-0.11765234,-0.24170574,0.32323325,1,WALKING,279
30,0.91908992,0.90188426,-0.34607489,-0.63587152,-0.98327246,1,WALKING_UPSTAIRS,304
31,0.88480962,0.93158289,-0.88502073,-0.75163582,-0.91719481,1,WALKING_UPSTAIRS,314
32,0.87974094,-0.12133479,-0.68986383,0.13501861,-0.92184243,1,WALKING_UPSTAIRS,318
33,0.87963832,0.56573161,-0.43875634,0.29135059,0.36502967,1,WALKING_UPSTAIRS,319
34,0.88078238,0.63929534,-0.32140861,-0.17540976,-0.94918892,1,WALKING_UPSTAIRS,327
35,0.87003325,0.34678693,-0.55170313,0.14345837,0.96987138,1,WALKING_UPSTAIRS,330
36,0.92047538,0.41306214,0.79467758,0.8535972,-0.72109072,1,WALKING_DOWNSTAIRS,332
37,0.92472311,0.9255542,-0.83154039,-0.61173904,0.66326731,3,STANDING,20
38,-0.32851918,-0.35001075,0.19656128,-0.98664813,-0.34653986,3,LAYING,61
39,-0.26888801,-0.91017361,0.75499051,-0.95863519,-0.32878301,3,LAYING,72
40,-0.28360894,-0.93573813,0.65280161,-0.81294865,0.42275111,3,LAYING,86
41,0.93965592,-0.44332187,-0.35918059999999996,0.0045406518,-0.60028829,3,WALKING,99
42,0.95308034,0.22406872,-0.52839287,0.093115934,-0.030716804,3,WALKING,103
43,0.95112743,0.88833187,0.82715523,0.89775314,0.94881231,3,WALKING,104
44,0.94303633,-0.61011023,-0.58549306,0.96706848,-0.072325287,3,WALKING,112
45,0.89954002,-0.25459976,0.64701081,0.43712078,0.90379462,3,WALKING_DOWNSTAIRS,135
46,0.92103051,0.30748337,0.75955298,0.79445148,-0.42097272,3,WALKING_DOWNSTAIRS,139
47,0.91193741,0.85087214,0.65964296,0.69537154,-0.96801166,3,WALKING_DOWNSTAIRS,140
48,0.87932603,0.96933136,0.25332099,0.26466459999999997,-0.77538954,3,WALKING_UPSTAIRS,143
49,0.89124446,0.70702983,0.1222288,-0.061150682000000005,0.90955854,3,WALKING_UPSTAIRS,147
